Cluster 0 Summary
Number of Plants: 12513
Total Capacity: 1,196,634.6 MW
Average Distance to Cluster Center: 1378.39 km
Closest Plant to Menomonie: "Menomonie" (1.2 km)
Primary Sources:
  - solar: 5783
  - natural gas: 1963
  - hydroelectric: 1359
  - wind: 1323
  - petroleum: 759
  - biomass: 603
  - batteries: 294
  - coal: 200
  - other: 74
  - geothermal: 66
  - nuclear: 54
  - pumped storage: 35

Plant-Level Data:
Plant_Name,PrimSource,Total_MW,Distance_km,Cluster,Dist_to_ClusterCenter
Pit 6,hydroelectric,80.0,2474.083102712769,0,2528.47960044686
Pit 7,hydroelectric,113.0,2476.827438213443,0,2528.94500707554
Poe,hydroelectric,120.0,2482.1568456967393,0,2497.4287761026453
Potter Valley,hydroelectric,9.2,2628.5991262721523,0,2643.7040145692868
Rock Creek,hydroelectric,126.0,2464.4779388113793,0,2484.4951763875943
San Joaquin 2,hydroelectric,3.2,2450.8145023749225,0,2375.355036232006
San Joaquin 3,hydroelectric,4.2,2449.785808396505,0,2376.029682586112
Salt Springs,hydroelectric,44.0,2440.405966396603,0,2409.964986654949
South,hydroelectric,7.0,2486.04432411856,0,2523.9491804735367
Spaulding 1,hydroelectric,7.0,2434.9789518948796,0,2432.832290272651
Spaulding 2,hydroelectric,4.4,2435.0245197210493,0,2432.881028492176
Spaulding 3,hydroelectric,5.8,2433.653508826719,0,2431.844592179266
Spring Gap,hydroelectric,7.0,2447.4575342654343,0,2406.749218187715
Stanislaus,hydroelectric,91.0,2470.0286842695828,0,2429.9421556509155
Geysers Unit 5-20,geothermal,644.0,2625.2537322971452,0,2621.257658331042
Tiger Creek,hydroelectric,58.0,2464.255157311835,0,2434.4310906044025
Tule River,hydroelectric,6.4,2448.3443932634987,0,2334.5002206375675
Volta 1,hydroelectric,9.0,2482.50095692935,0,2522.2574140695424
West Point PH,hydroelectric,14.5,2470.096456720249,0,2439.851843603816
Wise,hydroelectric,17.2,2490.6505748647373,0,2478.476074988236
A G Wishon,hydroelectric,20.0,2454.195079012556,0,2377.2459006597
Fall Creek,hydroelectric,1.9,2464.3680924832956,0,2552.5458220019204
Limestone,coal,1660.0,1542.594172750807,0,889.5051236379438
Blundell,geothermal,31.7,1871.1120228791383,0,1776.1173879471107
Drop 5,hydroelectric,3.8,2431.5841424931673,0,2179.2469197092055
AES Alamitos LLC,natural gas,1152.0,2552.1708287962215,0,2364.4919369674676
Sepulveda Canyon,hydroelectric,8.5,2558.74526442771,0,2384.360733702995
Big Creek 1,hydroelectric,88.4,2430.8016548576256,0,2353.033434756537
Big Creek 2,hydroelectric,66.6,2436.2358148823455,0,2358.9536422598762
Big Creek 3,hydroelectric,173.5,2445.193465244835,0,2367.095449840329
Big Creek 4,hydroelectric,100.0,2453.693144883635,0,2376.249817763639
Big Creek 8,hydroelectric,70.8,2437.4189678863117,0,2360.6244868278022
Big Creek 2A,hydroelectric,100.0,2436.225496192046,0,2358.9443656609187
Bishop Creek 2,hydroelectric,7.3,2375.545650641864,0,2293.7688279488048
Bishop Creek 3,hydroelectric,8.4,2370.8101959303863,0,2289.5244974688585
Bishop Creek 4,hydroelectric,8.2,2367.3327255839918,0,2286.417832497397
Bishop Creek 5,hydroelectric,3.8,2365.0172596038515,0,2284.2502611404966
Bishop Creek 6,hydroelectric,1.6,2362.873381829903,0,2282.4299715295274
Fontana,hydroelectric,3.0,2474.444148056192,0,2288.6139734871513
AES Huntington Beach LLC,natural gas,225.8,2551.4932969702872,0,2359.0128832349965
Kaweah 2,hydroelectric,1.8,2444.3877188033775,0,2341.0576689506347
Kaweah 1,hydroelectric,2.3,2442.8037056874778,0,2339.407519647327
Kaweah 3,hydroelectric,4.5,2439.581730434563,0,2336.545664929642
Kern River 3,hydroelectric,40.2,2450.514559312071,0,2322.553553343832
Kern River 1,hydroelectric,26.4,2495.621985709036,0,2362.2589883484616
Long Beach Generation LLC,natural gas,260.0,2561.6697179730363,0,2375.3708795045077
Lundy,hydroelectric,3.0,2381.4679833094015,0,2328.7203125276087
Mammoth Pool,hydroelectric,190.0,2437.5435775911483,0,2361.1523993759965
Ormond Beach,natural gas,1491.0,2608.2443348884462,0,2442.742303135995
Poole,hydroelectric,11.3,2389.937711101389,0,2334.5120251736785
Portal,hydroelectric,10.8,2421.7040692862142,0,2344.794542591756
Rush Creek,hydroelectric,11.4,2391.8927797852557,0,2330.213516432964
Mountainview Generating Station,natural gas,1018.0,2467.807548504355,0,2278.0394006061974
Santa Ana 1,hydroelectric,3.2,2450.0570282005747,0,2259.7634759638477
Santa Ana 3,hydroelectric,3.1,2455.5768461438315,0,2264.7369035067672
Lower Tule River,hydroelectric,2.6,2456.193648032507,0,2342.3818932391364
Columbia Generating Station,nuclear,1151.0,2126.664488824108,0,2352.7943824058243
Pardee,hydroelectric,27.7,2501.715453592568,0,2468.887123673404
Grayson,natural gas,48.0,2539.9038061383776,0,2364.716988821816
Prairie River,hydroelectric,0.7,294.50766985972876,0,952.033654762692
Dion R Holm,hydroelectric,156.8,2450.8702610102873,0,2400.2514915874135
Moccasin,hydroelectric,100.0,2481.192346384944,0,2430.6993465117193
R C Kirkwood,hydroelectric,115.5,2450.730448086416,0,2399.422628421927
Drop 2 (CA),hydroelectric,9.8,2403.6733803913526,0,2147.0369841248385
Drop 3 (CA),hydroelectric,8.9,2410.3985428689703,0,2155.1260834114364
Drop 4,hydroelectric,20.0,2416.984445287402,0,2163.037599507133
Pilot Knob,hydroelectric,0.0,2379.0299365947626,0,2118.638030293307
El Centro Hybrid,natural gas,323.1,2432.7679679300613,0,2185.9171510618417
Big Pine Creek,hydroelectric,3.0,2363.4637296248266,0,2275.3219536624615
Castaic,pumped storage,1674.5,2540.4862711154506,0,2381.431552631722
Control Gorge,hydroelectric,37.5,2365.4087781307535,0,2288.554533739992
